Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year,Distance,home_win,home_team_form
"46,728",Torino,2021-11-28,Sun,AS Roma,1-0,18:00,Stadio Olimpico,(1-0),2021,519.7003731677150,1,0.5
"12,188",Cagliari,2021-11-30,Tue,Hellas Verona,0-0,20:45,Stadio Marc'Antonio Bentegodi,(0-0),2021,708.8513602382750,0,0.5
"19,500",Juventus,2021-11-30,Tue,Salernitana,0-2,20:45,Stadio Arechi,(0-1),2021,767.7629084024790,0,0.5
"17,913",Sampdoria,2021-11-30,Tue,Fiorentina,3-1,18:30,Stadio Artemio Franchi,(3-1),2021,199.49234412689900,1,0.5
"8,667",Venezia,2021-11-30,Tue,Atalanta,4-0,18:30,Stadio Atleti Azzurri d'Italia,(2-0),2021,211.770858042985,1,0.5
"14,000",AC Milan,2021-12-01,Wed,Genoa,0-3,20:45,Stadio Comunale Luigi Ferraris,(0-2),2021,118.77110409643900,0,0.5
"15,780",AS Roma,2021-12-01,Wed,Bologna,1-0,18:30,Stadio Renato Dall'Ara,(1-0),2021,299.0253331111190,1,0.5
"8,192",Napoli,2021-12-01,Wed,Sassuolo,2-2,20:45,Mapei Stadium - Città del Tricolore,(0-0),2021,519.9962702286800,0,0.5
"30,076",Spezia,2021-12-01,Wed,Inter Milan,2-0,18:30,Stadio Giuseppe Meazza,(1-0),2021,162.32599838976200,1,0.5
"7,002",Empoli,2021-12-02,Thu,Torino,2-2,18:30,Stadio Olimpico di Torino,(2-1),2021,301.14598089876800,0,0.5
"7,000",Udinese,2021-12-02,Thu,Lazio,4-4,20:45,Stadio Olimpico,(1-3),2021,464.67909792520700,0,0.5
"30,000",Atalanta,2021-12-04,Sat,Napoli,2-3,20:45,Stadio Diego Armando Maradona,(1-1),2021,654.1868488614660,0,0.5
"51,185",Inter Milan,2021-12-04,Sat,AS Roma,0-3,18:00,Stadio Olimpico,(0-3),2021,476.62238398594400,0,0.5
"43,609",Salernitana,2021-12-04,Sat,AC Milan,2-0,15:00,Stadio Giuseppe Meazza,(2-0),2021,709.5694423502170,1,0.5
"18,175",Fiorentina,2021-12-05,Sun,Bologna,2-3,12:30,Stadio Renato Dall'Ara,(1-1),2021,79.07732589754690,0,0.5
"18,458",Genoa,2021-12-05,Sun,Juventus,2-0,20:45,Allianz Stadium,(1-0),2021,129.26585903174700,1,0.5
"7,608",Hellas Verona,2021-12-05,Sun,Venezia,3-4,15:00,Stadio Pierluigi Penzo ,(3-0),2021,109.19564550706200,0,0.5
"5,883",Lazio,2021-12-05,Sun,Sampdoria,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-3),2021,396.34249898601200,0,0.5
"4,987",Sassuolo,2021-12-05,Sun,Spezia,2-2,15:00,Stadio Alberto Picco,(1-0),2021,95.48887672398410,0,0.5
"8,799",Torino,2021-12-06,Mon,Cagliari,1-1,20:45,Unipol Domus,(0-1),2021,660.4334677989370,0,0.5
"4,808",Udinese,2021-12-06,Mon,Empoli,3-1,18:30,Stadio Carlo Castellani,(0-1),2021,316.08629425838900,1,0.5
,Sampdoria,2021-12-10,Fri,Genoa,1-3,20:45,Stadio Comunale Luigi Ferraris,(0-1),2021,0,0,0.5
"16,385",AC Milan,2021-12-11,Sat,Udinese,1-1,20:45,Dacia Arena,(1-0),2021,324.1401921212780,0,0.5
"8,350",Juventus,2021-12-11,Sat,Venezia,1-1,18:00,Stadio Pierluigi Penzo ,(0-1),2021,372.2618710855770,0,0.5
"18,579",Salernitana,2021-12-11,Sat,Fiorentina,4-0,15:00,Stadio Artemio Franchi,(1-0),2021,454.6353855025820,1,0.5
"15,000",Atalanta,2021-12-12,Sun,Hellas Verona,1-2,15:00,Stadio Marc'Antonio Bentegodi,(1-1),2021,105.03011344573900,0,0.5
"6,562",Bologna,2021-12-12,Sun,Torino,2-1,12:30,Stadio Olimpico di Torino,(1-0),2021,296.06999057922300,1,0.5
"33,712",Cagliari,2021-12-12,Sun,Inter Milan,4-0,20:45,Stadio Giuseppe Meazza,(1-0),2021,697.4502556886710,1,0.5
"20,000",Empoli,2021-12-12,Sun,Napoli,0-1,18:00,Stadio Diego Armando Maradona,(0-0),2021,418.28479331548500,0,0.5
"5,100",Lazio,2021-12-12,Sun,Sassuolo,2-1,18:00,Mapei Stadium - Città del Tricolore,(0-1),2021,341.8246503722720,1,0.5
"44,844",Spezia,2021-12-13,Mon,AS Roma,2-0,20:45,Stadio Olimpico,(1-0),2021,323.2861187529620,1,0.5
"6,000",Genoa,2021-12-17,Fri,Lazio,3-1,18:30,Stadio Olimpico,(1-0),2021,396.34249898601200,1,0.5
"18,000",Inter Milan,2021-12-17,Fri,Salernitana,0-5,20:45,Stadio Arechi,(0-2),2021,709.5694423502170,0,0.5
"14,469",AS Roma,2021-12-18,Sat,Atalanta,1-4,15:00,Stadio Atleti Azzurri d'Italia,(1-2),2021,475.0353950263620,0,0.5
"22,394",Juventus,2021-12-18,Sat,Bologna,0-2,18:00,Stadio Renato Dall'Ara,(0-1),2021,298.2345951259310,0,0.5
"7,864",Udinese,2021-12-18,Sat,Cagliari,0-4,20:45,Unipol Domus,(0-2),2021,833.6223808726530,0,0.5
"5,414",Empoli,2021-12-19,Sun,Spezia,1-1,15:00,Stadio Alberto Picco,(0-0),2021,101.07779888333500,0,0.5
"6,202",Hellas Verona,2021-12-19,Sun,Torino,1-0,18:00,Stadio Olimpico di Torino,(1-0),2021,264.18948039852500,1,0.5
"54,647",Napoli,2021-12-19,Sun,AC Milan,0-1,20:45,Stadio Giuseppe Meazza,(0-1),2021,660.849346236503,0,0.5
"21,514",Sassuolo,2021-12-19,Sun,Fiorentina,2-2,12:30,Stadio Artemio Franchi,(0-2),2021,115.41892463717000,0,0.5
"5,735",Venezia,2021-12-19,Sun,Sampdoria,1-1,18:00,Stadio Comunale Luigi Ferraris,(1-0),2021,291.8249944553990,0,0.5
"6,000",Atalanta,2021-12-21,Tue,Genoa,0-0,20:45,Stadio Comunale Luigi Ferraris,(0-0),2021,154.6880908683670,0,0.5
"11,197",Cagliari,2021-12-21,Tue,Juventus,2-0,20:45,Allianz Stadium,(1-0),2021,667.9608404524190,1,0.5
"10,596",AC Milan,2021-12-22,Wed,Empoli,2-4,20:45,Stadio Carlo Castellani,(1-2),2021,243.0688212434200,0,0.5
"4,763",Bologna,2021-12-22,Wed,Sassuolo,0-3,16:30,Mapei Stadium - Città del Tricolore,(0-2),2021,57.94675256337210,0,0.5
"14,001",Fiorentina,2021-12-22,Wed,Hellas Verona,1-1,18:30,Stadio Marc'Antonio Bentegodi,(1-0),2021,185.5363832089200,0,0.5
"7,894",Lazio,2021-12-22,Wed,Venezia,1-3,16:30,Stadio Pierluigi Penzo ,(1-1),2021,388.23996014146600,0,0.5
"49,400",Sampdoria,2021-12-22,Wed,AS Roma,1-1,18:30,Stadio Olimpico,(0-0),2021,396.34249898601200,0,0.5
"25,000",Spezia,2021-12-22,Wed,Napoli,0-1,20:45,Stadio Diego Armando Maradona,(0-1),2021,512.020101625628,0,0.5
"41,413",Torino,2021-12-22,Wed,Inter Milan,1-0,18:30,Stadio Giuseppe Meazza,(1-0),2021,125.26280395239400,1,0.5
"35,870",AS Roma,2022-01-06,Thu,AC Milan,3-1,18:30,Stadio Giuseppe Meazza,(2-1),2022,476.62238398594400,1,0.5
"3,188",Cagliari,2022-01-06,Thu,Sampdoria,1-2,12:30,Stadio Comunale Luigi Ferraris,(1-0),2022,579.631362219898,0,0.5
"23,000",Empoli,2022-01-06,Thu,Lazio,3-3,14:30,Stadio Olimpico,(1-2),2022,233.8441331080120,0,0.5
"4,696",Genoa,2022-01-06,Thu,Sassuolo,1-1,16:30,Mapei Stadium - Città del Tricolore,(0-1),2022,138.83308293258500,0,0.5
"3,250",Hellas Verona,2022-01-06,Thu,Spezia,1-2,14:30,Stadio Alberto Picco,(0-0),2022,174.28747168937000,0,0.5
"19,301",Napoli,2022-01-06,Thu,Juventus,1-1,20:45,Allianz Stadium,(0-1),2022,715.0814001685390,0,0.5
"5,000",AC Milan,2022-01-09,Sun,Venezia,0-3,12:30,Stadio Pierluigi Penzo ,(0-1),2022,253.69079313953600,0,0.5
"8,679",Atalanta,2022-01-09,Sun,Udinese,2-6,16:30,Dacia Arena,(0-3),2022,276.20012084924100,0,0.5
"33,178",Juventus,2022-01-09,Sun,AS Roma,3-4,18:30,Stadio Olimpico,(1-1),2022,525.1018556767370,0,0.5
"29,471",Lazio,2022-01-09,Sun,Inter Milan,2-1,20:45,Stadio Giuseppe Meazza,(1-1),2022,476.62238398594400,1,0.5
"3,106",Salernitana,2022-01-09,Sun,Hellas Verona,1-2,20:45,Stadio Marc'Antonio Bentegodi,(0-1),2022,617.7396526288890,0,0.5
"9,000",Sampdoria,2022-01-09,Sun,Napoli,1-0,16:30,Stadio Diego Armando Maradona,(1-0),2022,586.0743336614400,1,0.5
"4,081",Sassuolo,2022-01-09,Sun,Empoli,1-5,14:30,Stadio Carlo Castellani,(1-2),2022,112.4682668926770,0,0.5
"8,000",Spezia,2022-01-09,Sun,Genoa,0-1,18:30,Stadio Comunale Luigi Ferraris,(0-1),2022,76.77522902512600,0,0.5
"3,545",Fiorentina,2022-01-10,Mon,Torino,4-0,17:00,Stadio Olimpico di Torino,(3-0),2022,321.43217283133700,1,0.5
"5,583",Bologna,2022-01-11,Tue,Cagliari,2-1,20:45,Unipol Domus,(0-0),2022,614.8406050228860,1,0.5
"2,559",Lazio,2022-01-15,Sat,Salernitana,0-3,18:00,Stadio Arechi,(0-2),2022,244.63907146301100,0,0.5
"2,549",Torino,2022-01-15,Sat,Sampdoria,1-2,15:00,Stadio Comunale Luigi Ferraris,(1-1),2022,124.3883982813310,0,0.5
"5,000",Udinese,2022-01-15,Sat,Juventus,2-0,20:45,Allianz Stadium,(1-0),2022,446.85815852404400,1,0.5
