Away,Date,Half_time,Home,Score
 Sampdoria,Su 14 Mar,(2-1),Bologna ,3 - 1
 AS Roma,Su 14 Mar,(1-0),Parma ,2 - 0
 Inter Milan,Su 14 Mar,(0-0),Torino ,1 - 2
 Juventus,Su 14 Mar,(0-3),Cagliari ,1 - 3
 Napoli,Su 14 Mar,(0-0),AC Milan ,0 - 1
 Sassuolo,We 17 Mar,(0-2),Torino ,3 - 2
 Genoa,Fr 19 Mar,(1-0),Parma ,1 - 2
 Bologna,Sa 20 Mar,(2-0),Crotone ,2 - 3
 Cagliari,Sa 20 Mar,(0-0),Spezia ,2 - 1
 Atalanta,Su 21 Mar,(0-2),Hellas Verona ,0 - 2
 Benevento,Su 21 Mar,(0-0),Juventus ,0 - 1
 Torino,Su 21 Mar,(1-0),Sampdoria ,1 - 0
 Lazio,Su 21 Mar,(0-1),Udinese ,0 - 1
 AC Milan,Su 21 Mar,(1-1),Fiorentina ,2 - 3
 Napoli,Su 21 Mar,(0-2),AS Roma ,0 - 2
 Sampdoria,Sa 3 Apr,(0-0),AC Milan ,1 - 1
 Udinese,Sa 3 Apr,(2-1),Atalanta ,3 - 2
 Parma,Sa 3 Apr,(1-0),Benevento ,2 - 2
 Hellas Verona,Sa 3 Apr,(0-0),Cagliari ,0 - 2
 Fiorentina,Sa 3 Apr,(1-1),Genoa ,1 - 1
 Spezia,Sa 3 Apr,(0-0),Lazio ,2 - 1
 Crotone,Sa 3 Apr,(3-1),Napoli ,4 - 3
 AS Roma,Sa 3 Apr,(0-1),Sassuolo ,2 - 2
 Juventus,Sa 3 Apr,(1-1),Torino ,2 - 2
 Inter Milan,Sa 3 Apr,(0-1),Bologna ,0 - 1
 Sassuolo,We 7 Apr,(1-0),Inter Milan ,2 - 1
 Napoli,We 7 Apr,(1-0),Juventus ,2 - 1
 Crotone,Sa 10 Apr,(0-1),Spezia ,3 - 2
 AC Milan,Sa 10 Apr,(0-2),Parma ,1 - 3
 Torino,Sa 10 Apr,(0-0),Udinese ,0 - 1
 Cagliari,Su 11 Apr,(0-0),Inter Milan ,1 - 0
 Lazio,Su 11 Apr,(0-0),Hellas Verona ,0 - 1
 Genoa,Su 11 Apr,(2-0),Juventus ,3 - 1
 Napoli,Su 11 Apr,(0-1),Sampdoria ,0 - 2
 Bologna,Su 11 Apr,(1-0),AS Roma ,1 - 0
 Atalanta,Su 11 Apr,(0-2),Fiorentina ,2 - 3
 Sassuolo,Mo 12 Apr,(0-1),Benevento ,0 - 1
 Udinese,Sa 17 Apr,(0-1),Crotone ,1 - 2
 Hellas Verona,Sa 17 Apr,(0-1),Sampdoria ,3 - 1
 Fiorentina,Sa 17 Apr,(0-1),Sassuolo ,3 - 1
 Parma,Sa 17 Apr,(1-2),Cagliari ,4 - 3
 Genoa,Su 18 Apr,(1-1),AC Milan ,2 - 1
 Juventus,Su 18 Apr,(0-0),Atalanta ,1 - 0
 Spezia,Su 18 Apr,(2-1),Bologna ,4 - 1
 Benevento,Su 18 Apr,(3-1),Lazio ,5 - 3
 AS Roma,Su 18 Apr,(0-1),Torino ,3 - 1
 Inter Milan,Su 18 Apr,(1-0),Napoli ,1 - 1
 Fiorentina,Tu 20 Apr,(0-1),Hellas Verona ,1 - 2
 Sassuolo,We 21 Apr,(1-0),AC Milan ,1 - 2
 Torino,We 21 Apr,(1-0),Bologna ,1 - 1
 Sampdoria,We 21 Apr,(0-0),Crotone ,0 - 1
 Benevento,We 21 Apr,(2-2),Genoa ,2 - 2
 Parma,We 21 Apr,(1-1),Juventus ,3 - 1
 Inter Milan,We 21 Apr,(1-1),Spezia ,1 - 1
 Cagliari,We 21 Apr,(0-0),Udinese ,0 - 1
 Atalanta,Th 22 Apr,(0-1),AS Roma ,1 - 1
 Lazio,Th 22 Apr,(2-0),Napoli ,5 - 2
 Spezia,Sa 24 Apr,(0-0),Genoa ,2 - 0
 Crotone,Sa 24 Apr,(1-3),Parma ,3 - 4
 Sampdoria,Sa 24 Apr,(0-0),Sassuolo ,1 - 0
 Udinese,Su 25 Apr,(1-2),Benevento ,2 - 4
 Juventus,Su 25 Apr,(1-0),Fiorentina ,1 - 1
 Hellas Verona,Su 25 Apr,(0-0),Inter Milan ,1 - 0
 AS Roma,Su 25 Apr,(1-1),Cagliari ,3 - 2
 Bologna,Su 25 Apr,(2-0),Atalanta ,5 - 0
 Napoli,Mo 26 Apr,(0-2),Torino ,0 - 2
 AC Milan,Mo 26 Apr,(1-0),Lazio ,3 - 0
