Away,Date,Home,Score
Cagliari,19/04/14,Torino,1-1
Genoa,19/04/14,Sampdoria,2-0
Parma,19/04/14,Sassuolo,0-0
Bologna,19/04/14,Fiorentina,0-0
Napoli,19/04/14,Chievo,1-3
Inter,19/04/14,Frosinone,1-3
Empoli,19/04/15,Atalanta,0-0
AC Milan,19/04/20,Parma,1-1
Sampdoria,19/04/20,Bologna,3-0
Torino,19/04/20,Genoa,0-1
Frosinone,19/04/20,Cagliari,1-0
Chievo,19/04/20,Lazio,1-2
Sassuolo,19/04/20,Udinese,1-1
SPAL,19/04/20,Empoli,2-4
Fiorentina,19/04/20,Juventus,2-1
AS Roma,19/04/20,Inter,1-1
Atalanta,19/04/22,Napoli,1-2
Empoli,19/04/27,Bologna,3-1
Cagliari,19/04/27,AS Roma,3-0
Juventus,19/04/27,Inter,1-1
Napoli,19/04/28,Frosinone,0-2
Parma,19/04/28,Chievo,1-1
Genoa,19/04/28,SPAL,1-1
Lazio,19/04/28,Sampdoria,1-2
AC Milan,19/04/28,Torino,2-0
Udinese,19/04/29,Atalanta,2-0
Sassuolo,19/04/29,Fiorentina,0-1
Torino,19/03/05,Juventus,1-1
SPAL,19/04/05,Chievo,0-4
Inter,19/04/05,Udinese,0-0
Fiorentina,19/05/05,Empoli,1-0
Atalanta,19/05/05,Lazio,1-3
Sampdoria,19/05/05,Parma,3-3
Frosinone,19/05/05,Sassuolo,2-2
AS Roma,19/05/05,Genoa,1-1
Cagliari,19/05/05,Napoli,2-1
Bologna,19/06/05,AC Milan,2-1
Genoa,19/11/05,Atalanta,2-1
Lazio,19/11/05,Cagliari,1-2
AC Milan,19/11/05,Fiorentina,0-1
Sassuolo,19/12/05,Torino,3-2
Empoli,19/12/05,Sampdoria,1-2
Udinese,19/12/05,Frosinone,1-3
Napoli,19/12/05,SPAL,1-2
Juventus,19/12/05,AS Roma,2-0
Parma,19/05/13,Bologna,4-1
Chievo,19/05/13,Inter,2-0
SPAL,19/05/18,Udinese,3-2
Cagliari,19/05/18,Genoa,1-1
AS Roma,19/05/18,Sassuolo,0-0
Sampdoria,19/05/19,Chievo,0-0
Fiorentina,19/05/19,Parma,1-0
Torino,19/05/19,Empoli,4-1
Frosinone,19/05/19,AC Milan,2-0
Inter,19/05/19,Napoli,4-1
Atalanta,19/05/19,Juventus,1-1
Bologna,19/05/20,Lazio,3-3
Chievo,19/05/25,Frosinone,0-0
Napoli,19/05/25,Bologna,3-2
Lazio,19/05/26,Torino,3-1
Juventus,19/05/26,Sampdoria,2-0
Sassuolo,19/05/26,Atalanta,3-1
Empoli,19/05/26,Inter,2-1
Udinese,19/05/26,Cagliari,1-2
Parma,19/05/26,AS Roma,2-1
AC Milan,19/05/26,SPAL,2-3
Genoa,19/05/26,Fiorentina,0-0
Juventus,19/08/24,Parma,0-1
Napoli,19/08/24,Fiorentina,3-4
AC Milan,19/08/25,Udinese,1-0
Bologna,19/08/25,Verona,1-1
Brescia,19/08/25,Cagliari,0-1
Genoa,19/08/25,AS Roma,3-3
Lazio,19/08/25,Sampdoria,0-3
Atalanta,19/08/25,SPAL,2-3
Sassuolo,19/08/25,Torino,2-1
Lecce,19/08/26,Inter,4-0
SPAL,19/08/30,Bologna,1-0
Brescia,19/08/31,AC Milan,1-0
Napoli,19/08/31,Juventus,4-3
AS Roma,19/01/09,Lazio,1-1
Torino,19/01/09,Atalanta,2-3
Fiorentina,19/01/09,Genoa,2-1
Inter,19/01/09,Cagliari,1-2
Verona,19/01/09,Lecce,0-1
Sampdoria,19/01/09,Sassuolo,4-1
Parma,19/01/09,Udinese,1-3
Juventus,19/09/14,Fiorentina,0-0
Sampdoria,19/09/14,Napoli,2-0
Udinese,19/09/14,Inter,1-0
Atalanta,19/09/15,Genoa,1-2
Bologna,19/09/15,Brescia,3-4
Cagliari,19/09/15,Parma,1-3
Lazio,19/09/15,SPAL,2-1
Sassuolo,19/09/15,AS Roma,4-2
AC Milan,19/09/15,Verona,0-1
Lecce,19/09/16,Torino,1-2
Genoa,19/09/20,Cagliari,3-1
Brescia,19/09/21,Udinese,0-1
Verona,19/09/21,Juventus,2-1
Inter,19/09/21,AC Milan,0-2
SPAL,19/09/22,Sassuolo,3-0
AS Roma,19/09/22,Bologna,1-2
Napoli,19/09/22,Lecce,1-4
Torino,19/09/22,Sampdoria,1-0
Fiorentina,19/09/22,Atalanta,2-2
Parma,19/09/22,Lazio,2-0
Udinese,19/09/24,Verona,0-0
Juventus,19/09/24,Brescia,1-2
Atalanta,19/09/25,AS Roma,0-2
Bologna,19/09/25,Genoa,0-0
Lazio,19/09/25,Inter,1-0
Cagliari,19/09/25,Napoli,0-1
Sassuolo,19/09/25,Parma,1-0
Lecce,19/09/25,SPAL,1-3
Sampdoria,19/09/25,Fiorentina,2-1
AC Milan,19/09/26,Torino,2-1
SPAL,19/09/28,Juventus,2-0
Inter,19/09/28,Sampdoria,1-3
Atalanta,19/09/28,Sassuolo,1-4
Brescia,19/09/29,Napoli,2-1
Genoa,19/09/29,Lazio,4-0
AS Roma,19/09/29,Lecce,0-1
Bologna,19/09/29,Udinese,1-0
Verona,19/09/29,Cagliari,1-1
Fiorentina,19/09/29,AC Milan,1-3
Torino,19/09/30,Parma,3-2
Parma,19/05/10,SPAL,1-0
Sampdoria,19/05/10,Verona,2-0
AC Milan,19/05/10,Genoa,1-2
Udinese,19/06/10,Fiorentina,1-0
Lecce,19/06/10,Atalanta,3-1
Lazio,19/06/10,Bologna,2-2
Cagliari,19/06/10,AS Roma,1-1
Napoli,19/06/10,Torino,0-0
Juventus,19/06/10,Inter,1-2
Sassuolo,19/12/18,Brescia,0-2
Atalanta,19/10/19,Lazio,3-3
Verona,19/10/19,Napoli,2-0
Bologna,19/10/19,Juventus,2-1
Inter,19/10/20,Sassuolo,3-4
SPAL,19/10/20,Cagliari,2-0
AS Roma,19/10/20,Sampdoria,0-0
Torino,19/10/20,Udinese,1-0
Genoa,19/10/20,Parma,5-1
Lecce,19/10/20,AC Milan,2-2
Fiorentina,19/10/21,Brescia,0-0
Sassuolo,19/10/25,Verona,0-1
Juventus,19/10/26,Lecce,1-1
Parma,19/10/26,Inter,2-2
Brescia,19/10/26,Genoa,3-1
Sampdoria,19/10/27,Bologna,2-1
Udinese,19/10/27,Atalanta,7-1
Napoli,19/10/27,SPAL,1-1
Cagliari,19/10/27,Torino,1-1
AC Milan,19/10/27,AS Roma,2-1
Lazio,19/10/27,Fiorentina,1-2
Verona,19/10/29,Parma,0-1
Inter,19/10/29,Brescia,1-2
Atalanta,19/10/30,Napoli,2-2
Bologna,19/10/30,Cagliari,3-2
Torino,19/10/30,Lazio,4-0
Lecce,19/10/30,Sampdoria,1-1
Fiorentina,19/10/30,Sassuolo,1-2
AS Roma,19/10/30,Udinese,0-4
Genoa,19/10/30,Juventus,2-1
SPAL,19/10/31,AC Milan,1-0
Napoli,19/02/11,AS Roma,2-1
Inter,19/02/11,Bologna,1-2
Juventus,19/02/11,Torino,0-1
Cagliari,19/03/11,Atalanta,0-2
Brescia,19/03/11,Verona,2-1
Udinese,19/03/11,Genoa,1-3
Sassuolo,19/03/11,Lecce,2-2
Parma,19/03/11,Fiorentina,1-1
Lazio,19/03/11,AC Milan,1-2
Sampdoria,19/04/11,SPAL,0-1
Bologna,19/08/11,Sassuolo,3-1
Torino,19/09/11,Brescia,0-4
Verona,19/09/11,Inter,2-1
Genoa,19/09/11,Napoli,0-0
Fiorentina,19/10/11,Cagliari,5-2
Lecce,19/10/11,Lazio,4-2
Atalanta,19/10/11,Sampdoria,0-0
