Away,Date,Home,Score
Torino,22/01/15,Sampdoria,1-2
Lazio,22/01/15,Salernitana,0-3
Udinese,22/01/15,Juventus,2-0
Verona,22/01/16,Sassuolo,2-4
Empoli,22/01/16,Venezia,1-1
Cagliari,22/01/16,AS Roma,1-0
Inter,22/01/16,Atalanta,0-0
Napoli,22/01/17,Bologna,0-2
Spezia,22/01/17,AC Milan,1-2
Genoa,22/01/17,Fiorentina,6-0
Bologna,22/01/21,Verona,2-1
Udinese,22/01/22,Genoa,0-0
Venezia,22/01/22,Inter,2-1
Atalanta,22/01/22,Lazio,0-0
Fiorentina,22/01/23,Cagliari,1-1
Salernitana,22/01/23,Napoli,4-1
Sampdoria,22/01/23,Spezia,1-0
Sassuolo,22/01/23,Torino,1-1
AS Roma,22/01/23,Empoli,2-4
Juventus,22/01/23,AC Milan,0-0
Genoa,22/05/02,AS Roma,0-0
AC Milan,22/05/02,Inter,1-2
Lazio,22/05/02,Fiorentina,0-3
Cagliari,22/06/02,Atalanta,1-2
Empoli,22/06/02,Bologna,0-0
Napoli,22/06/02,Venezia,0-2
Sassuolo,22/06/02,Sampdoria,4-0
Torino,22/06/02,Udinese,2-0
Verona,22/06/02,Juventus,2-0
Spezia,22/07/02,Salernitana,2-2
Bologna,22/12/02,Lazio,3-0
Inter,22/12/02,Napoli,1-1
Venezia,22/12/02,Torino,1-2
Sampdoria,22/02/13,AC Milan,1-0
Udinese,22/02/13,Verona,4-0
Salernitana,22/02/13,Genoa,1-1
Cagliari,22/02/13,Empoli,1-1
AS Roma,22/02/13,Sassuolo,2-2
Juventus,22/02/13,Atalanta,1-1
Fiorentina,22/02/14,Spezia,1-2
Torino,22/02/18,Juventus,1-1
Empoli,22/02/19,Sampdoria,2-0
Verona,22/02/19,AS Roma,2-2
AC Milan,22/02/19,Salernitana,2-2
Atalanta,22/02/20,Fiorentina,1-0
Genoa,22/02/20,Venezia,1-1
Sassuolo,22/02/20,Inter,0-2
Lazio,22/02/20,Udinese,1-1
Napoli,22/02/21,Cagliari,1-1
Spezia,22/02/21,Bologna,2-1
Udinese,22/02/25,AC Milan,1-1
Inter,22/02/25,Genoa,0-0
Bologna,22/02/26,Salernitana,1-1
Juventus,22/02/26,Empoli,2-3
Fiorentina,22/02/26,Sassuolo,2-1
Cagliari,22/02/27,Torino,1-2
Venezia,22/02/27,Verona,3-1
AS Roma,22/02/27,Spezia,0-1
Napoli,22/02/27,Lazio,1-2
Sampdoria,22/02/28,Atalanta,4-0
Salernitana,22/04/03,Inter,5-0
Sampdoria,22/05/03,Udinese,2-1
Atalanta,22/05/03,AS Roma,1-0
Lazio,22/05/03,Cagliari,0-3
Empoli,22/06/03,Genoa,0-0
Torino,22/06/03,Bologna,0-0
Sassuolo,22/06/03,Venezia,1-4
Verona,22/06/03,Fiorentina,1-1
Spezia,22/06/03,Juventus,1-0
AC Milan,22/06/03,Napoli,0-1
Sassuolo,22/12/03,Salernitana,2-2
Cagliari,22/12/03,Spezia,2-0
Juventus,22/12/03,Sampdoria,1-3
Empoli,22/12/03,AC Milan,1-0
Bologna,22/03/13,Fiorentina,1-0
Napoli,22/03/13,Verona,1-2
Genoa,22/03/13,Atalanta,0-0
AS Roma,22/03/13,Udinese,1-1
Inter,22/03/13,Torino,1-1
Venezia,22/03/14,Lazio,1-0
Spezia,22/03/18,Sassuolo,4-1
Torino,22/03/18,Genoa,1-0
Udinese,22/03/19,Napoli,2-1
Fiorentina,22/03/19,Inter,1-1
AC Milan,22/03/19,Cagliari,0-1
Sampdoria,22/03/20,Venezia,0-2
Verona,22/03/20,Empoli,1-1
Salernitana,22/03/20,Juventus,2-0
Lazio,22/03/20,AS Roma,3-0
Atalanta,22/03/20,Bologna,0-1
Venezia,22/02/04,Spezia,1-0
Sassuolo,22/02/04,Lazio,2-1
Torino,22/02/04,Salernitana,0-1
Empoli,22/03/04,Fiorentina,1-0
Napoli,22/03/04,Atalanta,1-3
Cagliari,22/03/04,Udinese,5-1
AS Roma,22/03/04,Sampdoria,0-1
Inter,22/03/04,Juventus,0-1
Genoa,22/04/04,Verona,1-0
Bologna,22/04/04,AC Milan,0-0
Spezia,22/09/04,Empoli,0-0
Verona,22/09/04,Inter,2-0
Juventus,22/09/04,Cagliari,1-2
Lazio,22/10/04,Genoa,1-4
Udinese,22/10/04,Venezia,1-2
Fiorentina,22/10/04,Napoli,2-3
Atalanta,22/10/04,Sassuolo,2-1
Salernitana,22/10/04,AS Roma,2-1
AC Milan,22/10/04,Torino,0-0
Sampdoria,22/11/04,Bologna,2-0
Inter,22/04/15,Spezia,1-3
Genoa,22/04/15,AC Milan,2-0
Sassuolo,22/04/16,Cagliari,1-0
Salernitana,22/04/16,Sampdoria,1-2
Empoli,22/04/16,Udinese,4-1
Venezia,22/04/16,Fiorentina,1-0
Bologna,22/04/16,Juventus,1-1
Torino,22/04/16,Lazio,1-1
AS Roma,22/04/18,Napoli,1-1
Verona,22/04/18,Atalanta,1-2
Atalanta,22/04/23,Venezia,1-3
Spezia,22/04/23,Torino,2-1
AS Roma,22/04/23,Inter,3-1
Sampdoria,22/04/23,Verona,1-1
Fiorentina,22/04/24,Salernitana,2-1
Udinese,22/04/24,Bologna,2-2
Napoli,22/04/24,Empoli,3-2
Cagliari,22/04/24,Genoa,1-0
AC Milan,22/04/24,Lazio,1-2
Juventus,22/04/25,Sassuolo,1-2
Verona,22/04/30,Cagliari,1-2
Sassuolo,22/04/30,Napoli,6-1
Genoa,22/04/30,Sampdoria,1-0
Lazio,22/04/30,Spezia,3-4
Venezia,22/01/05,Juventus,2-1
Fiorentina,22/01/05,AC Milan,1-0
Torino,22/01/05,Empoli,1-3
Inter,22/01/05,Udinese,1-2
Bologna,22/01/05,AS Roma,0-0
Salernitana,22/02/05,Atalanta,1-1
Empoli,22/06/05,Inter,4-2
Juventus,22/06/05,Genoa,2-1
Napoli,22/07/05,Torino,0-1
Udinese,22/07/05,Sassuolo,1-1
Sampdoria,22/07/05,Lazio,2-0
Atalanta,22/08/05,Spezia,1-3
Bologna,22/08/05,Venezia,4-3
Cagliari,22/08/05,Salernitana,1-1
AC Milan,22/08/05,Verona,1-3
AS Roma,22/09/05,Fiorentina,2-0
Salernitana,22/05/14,Empoli,1-1
Torino,22/05/14,Verona,0-1
Spezia,22/05/14,Udinese,2-3
Venezia,22/05/14,AS Roma,1-1
Sassuolo,22/05/15,Bologna,1-3
Genoa,22/05/15,Napoli,3-0
Atalanta,22/05/15,AC Milan,2-0
Inter,22/05/15,Cagliari,1-3
Fiorentina,22/05/16,Sampdoria,4-1
Lazio,22/05/16,Juventus,2-2
AS Roma,22/05/20,Torino,0-3
Bologna,22/05/21,Genoa,0-1
Empoli,22/05/21,Atalanta,0-1
Verona,22/05/21,Lazio,3-3
Juventus,22/05/21,Fiorentina,2-0
Napoli,22/05/22,Spezia,0-3
Sampdoria,22/05/22,Inter,3-0
AC Milan,22/05/22,Sassuolo,0-3
Cagliari,22/05/22,Venezia,0-0
Udinese,22/05/22,Salernitana,0-4
Udinese,22/08/13,AC Milan,4-2
Atalanta,22/08/13,Sampdoria,0-2
Inter,22/08/13,Lecce,1-2
Torino,22/08/13,Monza,1-2
Cremonese,22/08/14,Fiorentina,3-2
Bologna,22/08/14,Lazio,2-1
AS Roma,22/08/14,Salernitana,0-1
Empoli,22/08/14,Spezia,1-0
Napoli,22/08/15,Verona,2-5
Sassuolo,22/08/15,Juventus,3-0
Lazio,22/08/20,Torino,0-0
Salernitana,22/08/20,Udinese,0-0
Spezia,22/08/20,Inter,3-0
Lecce,22/08/20,Sassuolo,1-0
Fiorentina,22/08/21,Empoli,0-0
Monza,22/08/21,Napoli,4-0
AC Milan,22/08/21,Atalanta,1-1
Verona,22/08/21,Bologna,1-1
Cremonese,22/08/22,AS Roma,1-0
Juventus,22/08/22,Sampdoria,0-0
Udinese,22/08/26,Monza,1-2
Inter,22/08/26,Lazio,3-1
Torino,22/08/27,Cremonese,1-2
AS Roma,22/08/27,Juventus,1-1
Bologna,22/08/27,AC Milan,2-0
Sassuolo,22/08/27,Spezia,2-2
Atalanta,22/08/28,Verona,0-1
Sampdoria,22/08/28,Salernitana,4-0
Napoli,22/08/28,Fiorentina,0-0
Empoli,22/08/28,Lecce,1-1
AC Milan,22/08/30,Sassuolo,0-0
Cremonese,22/08/30,Inter,3-1
Monza,22/08/30,AS Roma,3-0
Verona,22/08/31,Empoli,1-1
Lazio,22/08/31,Sampdoria,1-1
Fiorentina,22/08/31,Udinese,1-0
Spezia,22/08/31,Juventus,2-0
Lecce,22/08/31,Napoli,1-1
Torino,22/01/09,Atalanta,3-1
Salernitana,22/01/09,Bologna,1-1
Juventus,22/03/09,Fiorentina,1-1
Inter,22/03/09,AC Milan,3-2
Napoli,22/03/09,Lazio,1-2
Sassuolo,22/04/09,Cremonese,0-0
Bologna,22/04/09,Spezia,2-2
Sampdoria,22/04/09,Verona,2-1
AS Roma,22/04/09,Udinese,4-0
Atalanta,22/05/09,Monza,0-2
Empoli,22/05/09,Salernitana,2-2
Lecce,22/05/09,Torino,1-0
Spezia,22/10/09,Napoli,1-0
Torino,22/10/09,Inter,1-0
AC Milan,22/10/09,Sampdoria,1-2
Cremonese,22/11/09,Atalanta,1-1
Fiorentina,22/11/09,Bologna,2-1
Monza,22/11/09,Lecce,1-1
Udinese,22/11/09,Sassuolo,1-3
Verona,22/11/09,Lazio,2-0
Salernitana,22/11/09,Juventus,2-2
AS Roma,22/12/09,Empoli,1-2
Lecce,22/09/16,Salernitana,1-2
Empoli,22/09/17,Bologna,0-1
Sampdoria,22/09/17,Spezia,2-1
Sassuolo,22/09/17,Torino,0-1
Inter,22/09/18,Udinese,3-1
Lazio,22/09/18,Cremonese,0-4
Verona,22/09/18,Fiorentina,2-0
Juventus,22/09/18,Monza,1-0
Atalanta,22/09/18,AS Roma,0-1
Napoli,22/09/18,AC Milan,1-2
Torino,22/01/10,Napoli,3-1
AS Roma,22/01/10,Inter,1-2
AC Milan,22/01/10,Empoli,1-3
Spezia,22/02/10,Lazio,4-0
Cremonese,22/02/10,Lecce,1-1
Monza,22/02/10,Sampdoria,0-3
Salernitana,22/02/10,Sassuolo,5-0
Fiorentina,22/02/10,Atalanta,1-0
Bologna,22/02/10,Juventus,3-0
Udinese,22/03/10,Verona,1-2
