Attendance,Away,Date,Day,Home,Score,Time,Venue,Half_time,year
"18,969",Lazio,2018-10-21,Sun,Parma,0-2,15:00,Stadio Ennio Tardini,(0-0),2018
"17,859",Lazio,2020-02-09,Sun,Parma,0-1,18:00,Stadio Ennio Tardini,(0-1),2020
,Lazio,2021-01-10,Sun,Parma,0-2,15:00,Stadio Ennio Tardini,(0-0),2021
"13,415",Lazio,2019-04-03,Wed,SPAL,1-0,21:00,Stadio Paolo Mazza,(0-0),2019
"13,650",Lazio,2019-09-15,Sun,SPAL,2-1,15:00,Stadio Paolo Mazza,(0-1),2019
"2,559",Lazio,2022-01-15,Sat,Salernitana,0-3,18:00,Stadio Arechi,(0-2),2022
"18,450",Lazio,2019-04-28,Sun,Sampdoria,1-2,18:00,Stadio Comunale Luigi Ferraris,(0-2),2019
"19,500",Lazio,2019-08-25,Sun,Sampdoria,0-3,20:45,Stadio Comunale Luigi Ferraris,(0-1),2019
"1,000",Lazio,2020-10-17,Sat,Sampdoria,3-0,18:00,Stadio Comunale Luigi Ferraris,(2-0),2020
"5,883",Lazio,2021-12-05,Sun,Sampdoria,1-3,18:00,Stadio Comunale Luigi Ferraris,(0-3),2021
"18,499",Lazio,2022-08-31,Wed,Sampdoria,1-1,18:30,Stadio Comunale Luigi Ferraris,(0-1),2022
"11,317",Lazio,2018-11-11,Sun,Sassuolo,1-1,18:00,Stadio Città del Tricolore,(1-1),2018
"10,000",Lazio,2019-11-24,Sun,Sassuolo,1-2,15:00,Mapei Stadium - Città del Tricolore,(1-1),2019
,Lazio,2021-05-23,Sun,Sassuolo,2-0,20:45,Mapei Stadium - Città del Tricolore,(1-0),2021
"5,100",Lazio,2021-12-12,Sun,Sassuolo,2-1,18:00,Mapei Stadium - Città del Tricolore,(0-1),2021
,Lazio,2020-12-05,Sat,Spezia,1-2,15:00,Stadio Dino Manuzzi,(0-2),2020
"8,750",Lazio,2022-04-30,Sat,Spezia,3-4,20:45,Stadio Alberto Picco,(2-1),2022
"24,428",Lazio,2019-05-26,Sun,Torino,3-1,15:00,Stadio Olimpico di Torino,(0-0),2019
,Lazio,2020-06-30,Tue,Torino,1-2,19:30,Stadio Olimpico di Torino,(1-0),2020
,Lazio,2020-11-01,Sun,Torino,3-4,15:00,Stadio Olimpico di Torino,(2-1),2020
"8,646",Lazio,2021-09-23,Thu,Torino,1-1,18:30,Stadio Olimpico di Torino,(0-0),2021
"16,530",Lazio,2022-08-20,Sat,Torino,0-0,18:30,Stadio Olimpico di Torino,(0-0),2022
"19,455",Lazio,2018-09-26,Wed,Udinese,1-2,19:00,Dacia Arena,(0-0),2018
,Lazio,2020-07-15,Wed,Udinese,0-0,21:45,Dacia Arena,(0-0),2020
,Lazio,2021-03-21,Sun,Udinese,0-1,15:00,Dacia Arena,(0-1),2021
"10,799",Lazio,2022-02-20,Sun,Udinese,1-1,20:45,Dacia Arena,(1-1),2022
"7,894",Lazio,2021-12-22,Wed,Venezia,1-3,16:30,Stadio Pierluigi Penzo ,(1-1),2021
"48,703",Lecce,2019-10-20,Sun,AC Milan,2-2,20:45,Stadio Giuseppe Meazza,(1-0),2019
"34,293",Lecce,2020-02-23,Sun,AS Roma,4-0,18:00,Stadio Olimpico,(2-0),2020
"20,771",Lecce,2019-10-06,Sun,Atalanta,3-1,15:00,Stadio Atleti Azzurri d'Italia,(2-0),2019
,Lecce,2020-07-26,Sun,Bologna,3-2,17:15,Stadio Renato Dall'Ara,(2-1),2020
"13,131",Lecce,2019-12-14,Sat,Brescia,3-0,15:00,Stadio Mario Rigamonti,(2-0),2019
,Lecce,2020-07-12,Sun,Cagliari,0-0,19:30,Sardegna Arena,(0-0),2020
"33,912",Lecce,2019-11-30,Sat,Fiorentina,0-1,20:45,Stadio Artemio Franchi,(0-0),2019
,Lecce,2020-07-19,Sun,Genoa,2-1,19:30,Stadio Comunale Luigi Ferraris,(1-0),2020
"15,425",Lecce,2020-01-26,Sun,Hellas Verona,3-0,15:00,Stadio Marc'Antonio Bentegodi,(2-0),2020
"64,188",Lecce,2019-08-26,Mon,Inter Milan,4-0,20:45,Stadio Giuseppe Meazza,(2-0),2019
,Lecce,2020-06-26,Fri,Juventus,4-0,21:45,Allianz Stadium,(0-0),2020
"35,000",Lecce,2019-11-10,Sun,Lazio,4-2,15:00,Stadio Olimpico,(1-1),2019
"40,825",Lecce,2020-02-09,Sun,Napoli,2-3,15:00,Stadio San Paolo,(0-1),2020
"37,573",Lecce,2022-08-31,Wed,Napoli,1-1,20:45,Stadio Diego Armando Maradona,(1-1),2022
"15,258",Lecce,2020-01-13,Mon,Parma,2-0,20:45,Stadio Ennio Tardini,(0-0),2020
"13,292",Lecce,2019-09-25,Wed,SPAL,1-3,21:00,Stadio Paolo Mazza,(1-1),2019
"19,488",Lecce,2022-09-16,Fri,Salernitana,1-2,20:45,Stadio Arechi,(0-1),2022
"18,685",Lecce,2019-10-30,Wed,Sampdoria,1-1,21:00,Stadio Comunale Luigi Ferraris,(0-1),2019
,Lecce,2020-07-04,Sat,Sassuolo,4-2,19:30,Mapei Stadium - Città del Tricolore,(1-1),2020
"9,219",Lecce,2022-08-20,Sat,Sassuolo,1-0,20:45,Mapei Stadium - Città del Tricolore,(1-0),2022
"21,620",Lecce,2019-09-16,Mon,Torino,1-2,20:45,Stadio Olimpico di Torino,(0-1),2019
"19,087",Lecce,2022-09-05,Mon,Torino,1-0,20:45,Stadio Olimpico di Torino,(1-0),2022
,Lecce,2020-07-29,Wed,Udinese,1-2,19:30,Dacia Arena,(1-1),2020
"60,669",Monza,2022-08-30,Tue,AS Roma,3-0,20:45,Stadio Olimpico,(2-0),2022
"23,391",Monza,2022-09-11,Sun,Lecce,1-1,15:00,Stadio Comunale Via Del Mare,(0-1),2022
"36,559",Monza,2022-08-21,Sun,Napoli,4-0,18:30,Stadio Diego Armando Maradona,(2-0),2022
"19,806",Monza,2022-10-02,Sun,Sampdoria,0-3,15:00,Stadio Comunale Luigi Ferraris,(0-1),2022
"56,729",Napoli,2019-01-26,Sat,AC Milan,0-0,20:30,Stadio Giuseppe Meazza,(0-0),2019
"61,658",Napoli,2019-11-23,Sat,AC Milan,1-1,18:00,Stadio Giuseppe Meazza,(1-1),2019
,Napoli,2021-03-14,Sun,AC Milan,0-1,20:45,Stadio Giuseppe Meazza,(0-0),2021
"54,647",Napoli,2021-12-19,Sun,AC Milan,0-1,20:45,Stadio Giuseppe Meazza,(0-1),2021
"72,573",Napoli,2022-09-18,Sun,AC Milan,1-2,20:45,Stadio Giuseppe Meazza,(0-0),2022
"36,525",Napoli,2019-03-31,Sun,AS Roma,1-4,15:00,Stadio Olimpico,(1-1),2019
"34,502",Napoli,2019-11-02,Sat,AS Roma,2-1,15:00,Stadio Olimpico,(1-0),2019
,Napoli,2021-03-21,Sun,AS Roma,0-2,20:45,Stadio Olimpico,(0-2),2021
"47,801",Napoli,2021-10-24,Sun,AS Roma,0-0,18:00,Stadio Olimpico,(0-0),2021
"19,871",Napoli,2018-12-03,Mon,Atalanta,1-2,20:30,Stadio Atleti Azzurri d'Italia,(0-1),2018
,Napoli,2020-07-02,Thu,Atalanta,2-0,19:30,Stadio Atleti Azzurri d'Italia,(0-0),2020
,Napoli,2021-02-21,Sun,Atalanta,4-2,18:00,Stadio Atleti Azzurri d'Italia,(0-0),2021
"17,709",Napoli,2022-04-03,Sun,Atalanta,1-3,15:00,Stadio Atleti Azzurri d'Italia,(0-2),2022
"1,000",Napoli,2020-10-25,Sun,Benevento,1-2,15:00,Stadio Ciro Vigorito,(1-0),2020
"19,351",Napoli,2019-05-25,Sat,Bologna,3-2,20:30,Stadio Renato Dall'Ara,(2-0),2019
,Napoli,2020-07-15,Wed,Bologna,1-1,19:30,Stadio Renato Dall'Ara,(0-1),2020
,Napoli,2020-11-08,Sun,Bologna,0-1,18:00,Stadio Renato Dall'Ara,(0-1),2020
"5,000",Napoli,2022-01-17,Mon,Bologna,0-2,18:30,Stadio Renato Dall'Ara,(0-1),2022
"14,703",Napoli,2020-02-21,Fri,Brescia,1-2,20:45,Stadio Mario Rigamonti,(1-0),2020
"15,081",Napoli,2018-12-16,Sun,Cagliari,0-1,18:00,Sardegna Arena,(0-0),2018
"13,535",Napoli,2020-02-16,Sun,Cagliari,0-1,18:00,Sardegna Arena,(0-0),2020
,Napoli,2021-01-03,Sun,Cagliari,1-4,15:00,Sardegna Arena,(0-1),2021
"12,063",Napoli,2022-02-21,Mon,Cagliari,1-1,19:00,Unipol Domus,(0-0),2022
"13,500",Napoli,2019-04-14,Sun,Chievo,1-3,18:00,Stadio Marc'Antonio Bentegodi,(0-1),2019
,Napoli,2020-12-06,Sun,Crotone,0-4,18:00,Stadio Ezio Scida,(0-1),2020
"10,911",Napoli,2019-04-03,Wed,Empoli,2-1,19:00,Stadio Carlo Castellani,(1-1),2019
"10,245",Napoli,2022-04-24,Sun,Empoli,3-2,15:00,Stadio Carlo Castellani,(0-1),2022
"29,377",Napoli,2019-02-09,Sat,Fiorentina,0-0,18:00,Stadio Artemio Franchi,(0-0),2019
"33,614",Napoli,2019-08-24,Sat,Fiorentina,3-4,20:45,Stadio Artemio Franchi,(1-2),2019
,Napoli,2021-05-16,Sun,Fiorentina,0-2,12:30,Stadio Artemio Franchi,(0-0),2021
"15,264",Napoli,2021-10-03,Sun,Fiorentina,1-2,18:00,Stadio Artemio Franchi,(1-1),2021
"32,286",Napoli,2022-08-28,Sun,Fiorentina,0-0,20:45,Stadio Artemio Franchi,(0-0),2022
"13,600",Napoli,2019-04-28,Sun,Frosinone,0-2,12:30,Stadio Benito Stirpe,(0-1),2019
"25,365",Napoli,2018-11-10,Sat,Genoa,1-2,20:30,Stadio Comunale Luigi Ferraris,(1-0),2018
,Napoli,2020-07-08,Wed,Genoa,1-2,19:30,Stadio Comunale Luigi Ferraris,(0-1),2020
,Napoli,2021-02-06,Sat,Genoa,2-1,20:45,Stadio Comunale Luigi Ferraris,(2-0),2021
"20,000",Napoli,2021-08-29,Sun,Genoa,1-2,18:30,Stadio Comunale Luigi Ferraris,(0-1),2021
,Napoli,2020-06-23,Tue,Hellas Verona,0-2,19:30,Stadio Marc'Antonio Bentegodi,(0-1),2020
,Napoli,2021-01-24,Sun,Hellas Verona,3-1,15:00,Stadio Marc'Antonio Bentegodi,(1-1),2021
"18,782",Napoli,2022-03-13,Sun,Hellas Verona,1-2,15:00,Stadio Marc'Antonio Bentegodi,(0-1),2022
"16,967",Napoli,2022-08-15,Mon,Hellas Verona,2-5,18:30,Stadio Marc'Antonio Bentegodi,(1-2),2022
"63,946",Napoli,2018-12-26,Wed,Inter Milan,1-0,20:30,Stadio Giuseppe Meazza,(0-0),2018
,Napoli,2020-07-28,Tue,Inter Milan,2-0,21:45,Stadio Giuseppe Meazza,(1-0),2020
,Napoli,2020-12-16,Wed,Inter Milan,1-0,20:45,Stadio Giuseppe Meazza,(0-0),2020
"56,649",Napoli,2021-11-21,Sun,Inter Milan,3-2,18:00,Stadio Giuseppe Meazza,(2-1),2021
"39,252",Napoli,2018-09-29,Sat,Juventus,3-1,18:00,Allianz Stadium,(1-1),2018
"39,203",Napoli,2019-08-31,Sat,Juventus,4-3,20:45,Allianz Stadium,(2-0),2019
,Napoli,2021-04-07,Wed,Juventus,2-1,18:45,Allianz Stadium,(1-0),2021
"19,301",Napoli,2022-01-06,Thu,Juventus,1-1,20:45,Allianz Stadium,(0-1),2022
"32,000",Napoli,2018-08-18,Sat,Lazio,1-2,20:30,Stadio Olimpico,(1-1),2018
"40,000",Napoli,2020-01-11,Sat,Lazio,1-0,18:00,Stadio Olimpico,(0-0),2020
,Napoli,2020-12-20,Sun,Lazio,2-0,20:45,Stadio Olimpico,(1-0),2020
"25,000",Napoli,2022-02-27,Sun,Lazio,1-2,20:50,Stadio Olimpico,(0-0),2022
"39,000",Napoli,2022-09-03,Sat,Lazio,1-2,20:45,Stadio Olimpico,(1-1),2022
"21,644",Napoli,2019-09-22,Sun,Lecce,1-4,15:00,Stadio Comunale Via Del Mare,(0-2),2019
"18,478",Napoli,2019-02-24,Sun,Parma,0-4,18:00,Stadio Ennio Tardini,(0-2),2019
,Napoli,2020-07-22,Wed,Parma,2-1,19:30,Stadio Ennio Tardini,(1-0),2020
"1,000",Napoli,2020-09-20,Sun,Parma,0-2,12:30,Stadio Ennio Tardini,(0-0),2020
"14,175",Napoli,2019-05-12,Sun,SPAL,1-2,18:00,Stadio Paolo Mazza,(0-0),2019
"14,726",Napoli,2019-10-27,Sun,SPAL,1-1,15:00,Stadio Paolo Mazza,(1-1),2019
"17,043",Napoli,2021-10-31,Sun,Salernitana,0-1,18:00,Stadio Arechi,(0-0),2021
"19,835",Napoli,2018-09-02,Sun,Sampdoria,3-0,20:30,Stadio Comunale Luigi Ferraris,(2-0),2018
"20,017",Napoli,2020-02-03,Mon,Sampdoria,2-4,20:45,Stadio Comunale Luigi Ferraris,(1-2),2020
,Napoli,2021-04-11,Sun,Sampdoria,0-2,15:00,Stadio Comunale Luigi Ferraris,(0-1),2021
"4,596",Napoli,2021-09-23,Thu,Sampdoria,0-4,18:30,Stadio Comunale Luigi Ferraris,(0-2),2021
"14,969",Napoli,2019-03-10,Sun,Sassuolo,1-1,18:00,Stadio Città del Tricolore,(0-0),2019
"12,570",Napoli,2019-12-22,Sun,Sassuolo,1-2,20:45,Mapei Stadium - Città del Tricolore,(1-0),2019
,Napoli,2021-03-03,Wed,Sassuolo,3-3,18:30,Mapei Stadium - Città del Tricolore,(2-1),2021
"8,192",Napoli,2021-12-01,Wed,Sassuolo,2-2,20:45,Mapei Stadium - Città del Tricolore,(0-0),2021
,Napoli,2021-05-08,Sat,Spezia,1-4,15:00,Stadio Dino Manuzzi,(0-3),2021
"10,000",Napoli,2022-05-22,Sun,Spezia,0-3,12:30,Stadio Alberto Picco,(0-3),2022
"22,655",Napoli,2018-09-23,Sun,Torino,1-3,12:30,Stadio Olimpico di Torino,(0-2),2018
"24,343",Napoli,2019-10-06,Sun,Torino,0-0,18:00,Stadio Olimpico di Torino,(0-0),2019
,Napoli,2021-04-26,Mon,Torino,0-2,18:30,Stadio Olimpico di Torino,(0-2),2021
"14,619",Napoli,2022-05-07,Sat,Torino,0-1,15:00,Stadio Olimpico di Torino,(0-0),2022
"21,449",Napoli,2018-10-20,Sat,Udinese,0-3,20:30,Dacia Arena,(0-1),2018
"20,405",Napoli,2019-12-07,Sat,Udinese,1-1,18:00,Dacia Arena,(1-0),2019
,Napoli,2021-01-10,Sun,Udinese,1-2,15:00,Dacia Arena,(1-1),2021
"11,484",Napoli,2021-09-20,Mon,Udinese,0-4,20:45,Dacia Arena,(0-2),2021
"5,554",Napoli,2022-02-06,Sun,Venezia,0-2,15:00,Stadio Pierluigi Penzo ,(0-0),2022
"53,275",Parma,2018-12-02,Sun,AC Milan,2-1,12:30,Stadio Giuseppe Meazza,(0-0),2018
,Parma,2020-07-15,Wed,AC Milan,3-1,19:30,Stadio Giuseppe Meazza,(0-1),2020
,Parma,2020-12-13,Sun,AC Milan,2-2,20:45,Stadio Giuseppe Meazza,(0-1),2020
"62,304",Parma,2019-05-26,Sun,AS Roma,2-1,20:30,Stadio Olimpico,(1-0),2019
,Parma,2020-07-08,Wed,AS Roma,2-1,21:45,Stadio Olimpico,(1-1),2020
,Parma,2020-11-22,Sun,AS Roma,3-0,15:00,Stadio Olimpico,(3-0),2020
"18,152",Parma,2018-10-27,Sat,Atalanta,3-0,15:00,Stadio Atleti Azzurri d'Italia,(0-0),2018
"19,213",Parma,2020-01-06,Mon,Atalanta,5-0,15:00,Stadio Atleti Azzurri d'Italia,(3-0),2020
,Parma,2021-01-06,Wed,Atalanta,3-0,15:00,Stadio Atleti Azzurri d'Italia,(1-0),2021
,Parma,2021-04-03,Sat,Benevento,2-2,15:00,Stadio Ciro Vigorito,(1-0),2021
"20,656",Parma,2019-05-13,Mon,Bologna,4-1,19:00,Stadio Renato Dall'Ara,(0-0),2019
"21,419",Parma,2019-11-24,Sun,Bologna,2-2,12:30,Stadio Renato Dall'Ara,(1-1),2019
"1,000",Parma,2020-09-28,Mon,Bologna,4-1,20:45,Stadio Renato Dall'Ara,(2-0),2020
,Parma,2020-07-25,Sat,Brescia,1-2,17:15,Stadio Mario Rigamonti,(0-0),2020
"16,119",Parma,2019-02-16,Sat,Cagliari,2-1,18:00,Sardegna Arena,(0-1),2019
"16,051",Parma,2020-02-01,Sat,Cagliari,2-2,18:00,Sardegna Arena,(1-1),2020
,Parma,2021-04-17,Sat,Cagliari,4-3,20:45,Sardegna Arena,(1-2),2021
"7,000",Parma,2019-04-28,Sun,Chievo,1-1,15:00,Stadio Marc'Antonio Bentegodi,(0-1),2019
,Parma,2020-12-22,Tue,Crotone,2-1,18:30,Stadio Ezio Scida,(2-0),2020
"8,404",Parma,2019-03-02,Sat,Empoli,3-3,15:00,Stadio Carlo Castellani,(1-2),2019
"31,767",Parma,2018-12-26,Wed,Fiorentina,0-1,15:00,Stadio Artemio Franchi,(0-1),2018
"32,479",Parma,2019-11-03,Sun,Fiorentina,1-1,18:00,Stadio Artemio Franchi,(0-1),2019
,Parma,2021-03-07,Sun,Fiorentina,3-3,15:00,Stadio Artemio Franchi,(2-1),2021
"12,285",Parma,2019-04-03,Wed,Frosinone,3-2,21:00,Stadio Benito Stirpe,(2-1),2019
"20,511",Parma,2018-10-07,Sun,Genoa,1-3,12:30,Stadio Comunale Luigi Ferraris,(1-3),2018
,Parma,2020-06-23,Tue,Genoa,1-4,21:45,Stadio Comunale Luigi Ferraris,(0-2),2020
,Parma,2020-11-30,Mon,Genoa,1-2,20:45,Stadio Comunale Luigi Ferraris,(0-1),2020
,Parma,2020-07-01,Wed,Hellas Verona,3-2,21:45,Stadio Marc'Antonio Bentegodi,(1-1),2020
,Parma,2021-02-15,Mon,Hellas Verona,2-1,20:45,Stadio Marc'Antonio Bentegodi,(1-1),2021
"59,648",Parma,2018-09-15,Sat,Inter Milan,0-1,15:00,Stadio Giuseppe Meazza,(0-0),2018
"67,076",Parma,2019-10-26,Sat,Inter Milan,2-2,18:00,Stadio Giuseppe Meazza,(1-2),2019
,Parma,2020-10-31,Sat,Inter Milan,2-2,18:00,Stadio Giuseppe Meazza,(0-0),2020
"39,548",Parma,2019-02-02,Sat,Juventus,3-3,20:30,Allianz Stadium,(1-0),2019
"37,790",Parma,2020-01-19,Sun,Juventus,2-1,20:45,Allianz Stadium,(1-0),2020
,Parma,2021-04-21,Wed,Juventus,3-1,20:45,Allianz Stadium,(1-1),2021
"38,000",Parma,2019-03-17,Sun,Lazio,4-1,15:00,Stadio Olimpico,(4-0),2019
"31,404",Parma,2019-09-22,Sun,Lazio,2-0,20:45,Stadio Olimpico,(1-0),2019
,Parma,2021-05-12,Wed,Lazio,1-0,20:45,Stadio Olimpico,(0-0),2021
,Parma,2020-08-02,Sun,Lecce,3-4,20:45,Stadio Comunale Via Del Mare,(2-2),2020
"29,354",Parma,2018-09-26,Wed,Napoli,3-0,21:00,Stadio San Paolo,(1-0),2018
"25,000",Parma,2019-12-14,Sat,Napoli,1-2,18:30,Stadio San Paolo,(0-1),2019
,Parma,2021-01-31,Sun,Napoli,2-0,18:00,Stadio Diego Armando Maradona,(1-0),2021
"6,000",Parma,2018-08-26,Sun,SPAL,1-0,18:00,Stadio Paolo Mazza,(0-0),2018
"11,776",Parma,2019-10-05,Sat,SPAL,1-0,15:00,Stadio Paolo Mazza,(1-0),2019
"19,000",Parma,2018-12-16,Sun,Sampdoria,2-0,15:00,Stadio Comunale Luigi Ferraris,(0-0),2018
"19,516",Parma,2019-12-08,Sun,Sampdoria,0-1,18:00,Stadio Comunale Luigi Ferraris,(0-1),2019
,Parma,2021-05-22,Sat,Sampdoria,3-0,20:45,Stadio Comunale Luigi Ferraris,(2-0),2021
"12,538",Parma,2019-04-14,Sun,Sassuolo,0-0,15:00,Stadio Città del Tricolore,(0-0),2019
"12,099",Parma,2020-02-16,Sun,Sassuolo,0-1,15:00,Mapei Stadium - Città del Tricolore,(0-1),2020
,Parma,2021-01-17,Sun,Sassuolo,1-1,15:00,Mapei Stadium - Città del Tricolore,(0-1),2021
,Parma,2021-02-27,Sat,Spezia,2-2,15:00,Stadio Dino Manuzzi,(0-2),2021
"17,431",Parma,2018-11-10,Sat,Torino,1-2,15:00,Stadio Olimpico di Torino,(1-2),2018
,Parma,2020-06-20,Sat,Torino,1-1,19:30,Stadio Olimpico di Torino,(1-1),2020
,Parma,2021-05-03,Mon,Torino,1-0,20:45,Stadio Olimpico di Torino,(0-0),2021
"15,000",Parma,2019-01-19,Sat,Udinese,1-2,18:00,Dacia Arena,(0-1),2019
"20,410",Parma,2019-09-01,Sun,Udinese,1-3,20:45,Dacia Arena,(1-1),2019
"1,000",Parma,2020-10-18,Sun,Udinese,3-2,18:00,Dacia Arena,(1-1),2020
"48,070",SPAL,2018-12-29,Sat,AC Milan,2-1,20:30,Stadio Giuseppe Meazza,(1-1),2018
"46,475",SPAL,2019-10-31,Thu,AC Milan,1-0,21:00,Stadio Giuseppe Meazza,(0-0),2019
"39,838",SPAL,2018-10-20,Sat,AS Roma,0-2,15:00,Stadio Olimpico,(0-1),2018
"34,761",SPAL,2019-12-15,Sun,AS Roma,3-1,18:00,Stadio Olimpico,(0-1),2019
"18,342",SPAL,2019-02-10,Sun,Atalanta,2-1,15:00,Stadio Atleti Azzurri d'Italia,(0-1),2019
"16,636",SPAL,2020-01-20,Mon,Atalanta,1-2,20:45,Stadio Atleti Azzurri d'Italia,(1-0),2020
"21,158",SPAL,2018-08-19,Sun,Bologna,0-1,20:30,Stadio Renato Dall'Ara,(0-0),2018
"25,086",SPAL,2019-08-30,Fri,Bologna,1-0,20:45,Stadio Renato Dall'Ara,(0-0),2019
,SPAL,2020-07-19,Sun,Brescia,2-1,19:30,Stadio Mario Rigamonti,(0-1),2020
"16,121",SPAL,2019-04-07,Sun,Cagliari,2-1,15:00,Sardegna Arena,(1-1),2019
"15,713",SPAL,2019-10-20,Sun,Cagliari,2-0,15:00,Sardegna Arena,(1-0),2019
"10,000",SPAL,2019-05-04,Sat,Chievo,0-4,18:00,Stadio Marc'Antonio Bentegodi,(0-1),2019
"10,444",SPAL,2019-04-20,Sat,Empoli,2-4,15:00,Stadio Carlo Castellani,(1-2),2019
"30,068",SPAL,2018-09-22,Sat,Fiorentina,3-0,18:00,Stadio Artemio Franchi,(2-0),2018
"33,970",SPAL,2020-01-12,Sun,Fiorentina,1-0,15:00,Stadio Artemio Franchi,(0-0),2020
"12,969",SPAL,2019-03-31,Sun,Frosinone,0-1,15:00,Stadio Benito Stirpe,(0-1),2019
"19,571",SPAL,2018-12-09,Sun,Genoa,1-1,18:00,Stadio Comunale Luigi Ferraris,(1-1),2018
,SPAL,2020-07-12,Sun,Genoa,2-0,17:15,Stadio Comunale Luigi Ferraris,(1-0),2020
,SPAL,2020-07-29,Wed,Hellas Verona,3-0,19:30,Stadio Marc'Antonio Bentegodi,(2-0),2020
"61,339",SPAL,2019-03-10,Sun,Inter Milan,2-0,15:00,Stadio Giuseppe Meazza,(0-0),2019
"61,221",SPAL,2019-12-01,Sun,Inter Milan,2-1,15:00,Stadio Giuseppe Meazza,(2-0),2019
"41,052",SPAL,2018-11-24,Sat,Juventus,2-0,18:00,Allianz Stadium,(1-0),2018
"38,995",SPAL,2019-09-28,Sat,Juventus,2-0,15:00,Allianz Stadium,(1-0),2019
"35,573",SPAL,2018-11-04,Sun,Lazio,4-1,12:30,Stadio Olimpico,(2-1),2018
"4,000",SPAL,2020-02-02,Sun,Lazio,5-1,15:00,Stadio Olimpico,(4-0),2020
"24,129",SPAL,2020-02-15,Sat,Lecce,2-1,15:00,Stadio Comunale Via Del Mare,(1-0),2020
"37,093",SPAL,2018-12-22,Sat,Napoli,1-0,15:00,Stadio San Paolo,(1-0),2018
,SPAL,2020-06-28,Sun,Napoli,3-1,19:30,Stadio San Paolo,(2-1),2020
"15,297",SPAL,2019-01-27,Sun,Parma,2-3,15:00,Stadio Ennio Tardini,(1-0),2019
,SPAL,2020-03-08,Sun,Parma,0-1,13:30,Stadio Ennio Tardini,(0-0),2020
"17,885",SPAL,2018-10-01,Mon,Sampdoria,2-1,20:30,Stadio Comunale Luigi Ferraris,(1-1),2018
,SPAL,2020-07-05,Sun,Sampdoria,3-0,19:30,Stadio Comunale Luigi Ferraris,(3-0),2020
"11,554",SPAL,2019-02-24,Sun,Sassuolo,1-1,15:00,Stadio Città del Tricolore,(1-0),2019
"10,937",SPAL,2019-09-22,Sun,Sassuolo,3-0,12:30,Mapei Stadium - Città del Tricolore,(2-0),2019
"17,785",SPAL,2018-09-02,Sun,Torino,1-0,20:30,Stadio Olimpico di Torino,(0-0),2018
"18,553",SPAL,2019-12-21,Sat,Torino,1-2,20:45,Stadio Olimpico di Torino,(1-1),2019
"24,614",SPAL,2019-05-18,Sat,Udinese,3-2,15:00,Dacia Arena,(3-0),2019
"21,621",SPAL,2019-11-10,Sun,Udinese,0-0,15:00,Dacia Arena,(0-0),2019
"43,609",Salernitana,2021-12-04,Sat,AC Milan,2-0,15:00,Stadio Giuseppe Meazza,(2-0),2021
"64,266",Salernitana,2022-04-10,Sun,AS Roma,2-1,18:00,Stadio Olimpico,(0-1),2022
"17,011",Salernitana,2022-05-02,Mon,Atalanta,1-1,20:45,Stadio Atleti Azzurri d'Italia,(0-1),2022
"8,375",Salernitana,2021-08-22,Sun,Bologna,3-2,18:30,Stadio Renato Dall'Ara,(0-0),2021
"19,787",Salernitana,2022-09-01,Thu,Bologna,1-1,20:45,Stadio Renato Dall'Ara,(0-0),2022
"9,700",Salernitana,2021-11-26,Fri,Cagliari,1-1,20:45,Unipol Domus,(0-0),2021
"7,000",Salernitana,2022-05-14,Sat,Empoli,1-1,15:00,Stadio Carlo Castellani,(1-0),2022
"18,579",Salernitana,2021-12-11,Sat,Fiorentina,4-0,15:00,Stadio Artemio Franchi,(1-0),2021
"13,742",Salernitana,2022-02-13,Sun,Genoa,1-1,15:00,Stadio Comunale Luigi Ferraris,(1-1),2022
"3,106",Salernitana,2022-01-09,Sun,Hellas Verona,1-2,20:45,Stadio Marc'Antonio Bentegodi,(0-1),2022
"46,287",Salernitana,2022-03-04,Fri,Inter Milan,5-0,20:45,Stadio Giuseppe Meazza,(2-0),2022
"29,186",Salernitana,2022-03-20,Sun,Juventus,2-0,15:00,Allianz Stadium,(2-0),2022
"35,097",Salernitana,2022-09-11,Sun,Juventus,2-2,20:45,Allianz Stadium,(0-2),2022
"25,000",Salernitana,2021-11-07,Sun,Lazio,3-0,18:00,Stadio Olimpico,(2-0),2021
"3,000",Salernitana,2022-01-23,Sun,Napoli,4-1,15:00,Stadio Diego Armando Maradona,(2-1),2022
"14,908",Salernitana,2022-04-16,Sat,Sampdoria,1-2,14:30,Stadio Comunale Luigi Ferraris,(1-2),2022
"5,177",Salernitana,2021-09-26,Sun,Sassuolo,1-0,15:00,Mapei Stadium - Città del Tricolore,(0-0),2021
"15,786",Salernitana,2022-10-02,Sun,Sassuolo,5-0,15:00,Mapei Stadium - Città del Tricolore,(2-0),2022
"6,023",Salernitana,2021-10-16,Sat,Spezia,2-1,15:00,Stadio Alberto Picco,(0-1),2021
"9,082",Salernitana,2021-09-12,Sun,Torino,4-0,15:00,Stadio Olimpico di Torino,(1-0),2021
"12,362",Salernitana,2022-04-20,Wed,Udinese,0-1,18:45,Dacia Arena,(0-0),2022
"17,054",Salernitana,2022-08-20,Sat,Udinese,0-0,18:30,Dacia Arena,(0-0),2022
"5,103",Salernitana,2021-10-26,Tue,Venezia,1-2,18:30,Stadio Pierluigi Penzo ,(1-0),2021
